"","x"
"217","The House could have created twice as many jobs at half the cost. But a $1.1 trillion spending bill got this: http://tinyurl.com/buhtot"
"218","The #Pledge to America focuses on job creation, cutting government spending, &amp; restoring accountability to Congress http://t.co/ZyK94Vv"
"219","100K Americans voted how they want to cut Washington spending. You can vote here - http://republicanwhip.house.gov/YouCut/ #YouCut #tcot"
"220","Heritage Charts: The Monthly Interest Payment on the National #Debt is More Than Most Program Spending http://j.mp/czXvp8 #tcot"
"221","Heritage Charts: The Monthly Interest Payment on the National #Debt is More Than Most Program Spending http://j.mp/czXvp8 #tcot"
"222","Federal Spending Grew More Than Eight Times Faster Than Median Income http://j.mp/axiH7s"
"223","Introduced bill to bring more transparency to government spending http://j.mp/dauS0r #tcot"
"224","RT @GOPWhip Did you know:since last #debt limit increase, Dems have passed 0 bills to reduce spending or lower the deficit? #tcot"
"225","Groundhog�s Day came a day early. This year�s President�s budget is worse than last � more record spending &amp; another $1 trillion deficit."
"226","CA Needs Jobs, Not More of the Same Washington Spending &amp; Borrowing http://j.mp/6jbas3 #tcot #gop #kevinmccarthy"
"227","RT @RepTomPrice Dems add more spending, now price of health bill is $1.2 trillion http://bit.ly/497baG"
"228","Common sense solution is to stop spending and decrease the debt, not boost its limits. http://tiny.cc/XPO3"
"229","America Needs Jobs, not just more Govt Spending - CA unemployment when stimulus passed: 10.6%, now in Sept: 12.2% http://tinyurl.com/yggtn3w"
"230","Spending priorities: House Ds wouldn�t consider my amendments to cut $26M bc of time. Today they have time to vote for $200M on wild burros."
"231","Just voted to cut wasteful spending: bikes for congressional staff.   Saves taxpayers $100,000."
"232","Debating budget, let�s put America on a path to prosperity instead of more spending, borrowing, and taxing http://tinyurl.com/csq6px"
"233","RT @RepMaryFallin support the GOP's new budget ... lower taxes and less spending: http://tiny.cc/6O2mX"
"234","Wasteful pork spending is the wrong priority in this economic crisis. We call on the President to veto - http://tinyurl.com/bvw4pl #tcot"
"235","We can�t keep spending money from our children�s generation - http://tinyurl.com/c2p2h2"
"236","RT @GOPLeader: Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now"
"237","RT @GOPLeader: It�s official: Dems to call House back on Tuesday to pass more �stimulus� spending, """"paid for"""" with new job-killing tax o ..."
"238","RT @GOPWhip: Tired of Big Government spending? #YouCut lets you vote on cuts you want to see the House enact http://j.mp/aJaxYA #tcot"
"239","RT @USASpeakingOut: House GOP to unveil governing agenda focused on jobs, cutting spending, reform in Sterling, VA on Thursday"
"240","RT @RevRico: Rep. Kevin McCarthy (R-Bakersfield) warns of federal spending and deficits ... http://tinyurl.com/ydcfemw"
"241","The GOP has unveiled """"A Pledge to America"""" which focuses on job creation through spending cuts and congressional reforms. http://j.mp/cS1qf5"
"242","Roll Call - Republicans Seek Immediate Action on Tax, Spending Cuts - Read more: http://j.mp/dis2tq"
"243","I'm on my way to Jefferson Davis County to meet with local officials about the GOP plan to create jobs, reduce spending and reform Congress."
"244","Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now."
"245","The Democratic leadership has no budget for the federal government. And this is because they have no priorities to reduce federal spending."
"246","I sent my latest eNewsletter today discussing federal spending, community awards and ethics. To sign up, visit www.harper.house.gov."
"247","I will be """"On Deadline with @SidSalter"""" on @SuperTalk at 5:30 p.m. Central to discuss record high spending, deficits and debt in FY 2009."
"248","FISCAL YEAR 2009 SPENDING PRODUCES MORE GOVERNMENT - Read more: http://tinyurl.com/ycl3l7v"
"249","HARPER: MID-SESSION REVIEW PROVIDES HARSH EVIDENCE OF DEMOCRATS� SPENDING BINGE - Read more: http://tinyurl.com/nxgux6"
"250","I'll be joining Gregg Jarrett on FOX News in-studio today at 5:20 p.m. discussing America's response to the stimulus spending."
"251","is reviewing �The Republican Road to Recovery,� our economic plan to curb spending, lower taxes, create jobs and control debt."
"252","Must read article in today's @WSJ: Why the Spending Stimulus Failed: http://on.wsj.com/gGdrfV"
"253","AP Reports - Federal Deficit Sets October Record of $176.4B http://bit.ly/1syFCI When will the spending stop?"
"254","TUNE IN OR TIVO - I'm on @FoxBusiness at 5 pm TODAY to talk """"tax cut"""" package and bloated spending bill on @TheWillisReport"
